,fs,t,y
5775,,338.1199961,1.142578125
5776,,338.1546666,1.103515625
5777,,338.1756228,1.064453125
5778,,338.180482,1.0107421875
5779,,338.1961952,0.9326171875
5780,,338.2425245,0.859375
5781,,338.2431074,0.8203125
5782,,338.2634783,0.8837890625
5783,,338.2809121,1.0791015625
5784,,338.3204675,1.38671875
5785,,338.3210394,1.69921875
5786,,338.3573584,1.9970703125
5787,,338.3633509,2.2412109375
5788,,338.3782748,2.412109375
5789,,338.4119545,2.5244140625
5790,,338.4335489,2.578125
5791,,338.4402284,2.5732421875
5792,,338.4779261,2.51953125
5793,,338.4825967,2.4365234375
5794,,338.5225523,2.34375
5795,,338.5231342,2.24609375
5796,,338.5397075,2.158203125
5797,,338.5751038,2.08984375
5798,,338.5779299,2.0166015625
5799,,338.6156022,1.9482421875
5800,,338.6459665,1.8798828125
5801,,338.6463204,1.806640625
5802,,338.6620699,1.728515625
5803,,338.6976469,1.6552734375
5804,,338.7027129,1.5673828125
5805,,338.7394186,1.4697265625
5806,,338.7602525,1.3671875
5807,,338.7608225,1.2646484375
5808,,338.7952014,1.15234375
5809,,338.801142,1.0400390625
5810,,338.8359661,0.9228515625
5811,,338.8412886,0.810546875
5812,,338.8769759,0.703125
5813,,338.8972413,0.6494140625
5814,,338.9024928,0.7666015625
5815,,338.9201332,1.044921875
5816,,338.95461,1.46484375
5817,,338.9580711,1.8505859375
5818,,339.0047517,2.2119140625
5819,,339.0051127,2.509765625
5820,,339.0341755,2.724609375
5821,,339.0437695,2.8955078125
5822,,339.0630353,2.98828125
5823,,339.0826366,3.0322265625
5824,,339.099911,2.998046875
5825,,339.1352735,2.9248046875
5826,,339.1590398,2.822265625
5827,,339.1618087,2.7001953125
5828,,339.1974562,2.5830078125
5829,,339.2009052,2.4853515625
5830,,339.2372745,2.3974609375
5831,,339.2584255,2.32421875
5832,,339.2590653,2.2509765625
5833,,339.281308,2.1826171875
5834,,339.3300973,2.1142578125
5835,,339.3304755,2.0556640625
5836,,339.3410713,1.9921875
5837,,339.3926588,1.9287109375
5838,,339.3932605,1.865234375
5839,,339.4015335,1.7919921875
5840,,339.4380114,1.69921875
5841,,339.4431107,1.6064453125
5842,,339.4776582,1.4892578125
5843,,339.4986409,1.40625
5844,,339.4990242,1.337890625
5845,,339.5472681,1.318359375
5846,,339.5477378,1.42578125
5847,,339.5673925,1.66015625
5848,,339.5830877,1.9677734375
5849,,339.6262321,2.2412109375
5850,,339.6265805,2.5
5851,,339.6462095,2.705078125
5852,,339.6590924,2.841796875
5853,,339.6959326,2.9443359375
5854,,339.7168278,2.9833984375
5855,,339.7224111,2.978515625
5856,,339.7587829,2.9248046875
5857,,339.7614316,2.8515625
5858,,339.7978545,2.7685546875
5859,,339.8306879,2.6806640625
5860,,339.8310622,2.59765625
5861,,339.8396589,2.5244140625
5862,,339.8750699,2.451171875
5863,,339.9076173,2.3828125
5864,,339.9079774,2.3095703125
5865,,339.9247819,2.2216796875
5866,,339.9436421,2.1337890625
5867,,339.9792427,2.0654296875
5868,,339.986192,1.9873046875
5869,,340.000963,1.904296875
5870,,340.0218626,1.8212890625
5871,,340.0438602,1.7333984375
5872,,340.0792696,1.6357421875
5873,,340.0815991,1.5380859375
5874,,340.1147927,1.4306640625
5875,,340.135957,1.3330078125
5876,,340.1444162,1.25
5877,,340.1643932,1.240234375
5878,,340.2061957,1.34765625
5879,,340.2067614,1.591796875
5880,,340.2254308,1.9091796875
5881,,340.2589735,2.1875
5882,,340.2618756,2.44140625
5883,,340.2974468,2.646484375
5884,,340.3027105,2.79296875
5885,,340.3370524,2.890625
5886,,340.3574684,2.9296875
5887,,340.3649045,2.9248046875
5888,,340.3816604,2.8662109375
5889,,340.4275246,2.79296875
5890,,340.4280895,2.705078125
5891,,340.4582792,2.607421875
5892,,340.4651855,2.51953125
5893,,340.5035345,2.4365234375
5894,,340.5038869,2.353515625
5895,,340.5380345,2.2705078125
5896,,340.5716272,2.1875
5897,,340.5720032,2.119140625
5898,,340.5817204,2.0361328125
5899,,340.6167307,1.9580078125
5900,,340.6373674,1.875
5901,,340.6442369,1.7919921875
5902,,340.6798065,1.7041015625
5903,,340.684756,1.6259765625
5904,,340.7188992,1.533203125
5905,,340.7384515,1.4453125
